sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg352_09.fsa,Pg352,KY_05,KY,135,0.5964771817453962,0.0034027221777421946,0.0024019215372297845,0.39771817453963176
883779813_Pg352_10.fsa,Pg352,KY_05,KY,136,0.5932,0.0028,0.0038,0.4002
883779813_Pg352_11.fsa,Pg352,KY_05,KY,137,0.597119423884777,0.0030006001200240046,0.004000800160032006,0.395879175835167
883779813_Pg352_12.fsa,Pg352,KY_05,KY,138,0.5991198239647929,0.0030006001200240046,0.0028005601120224045,0.3950790158031606
883779813_Pg352_13.fsa,Pg352,KY_05,KY,139,0.5972,0.0026000000000000003,0.001,0.3992
883779813_Pg352_14.fsa,Pg352,KY_05,KY,140,0.6001200240048009,0.0016003200640128026,0.0022004400880176033,0.39607921584316863
883779813_Pg352_15.fsa,Pg352,KY_05,KY,141,0.5979195839167833,0.002800560112022404,0.0010002000400080016,0.39827965593118625
883779813_Pg352_16.fsa,Pg352,KY_05,KY,142,0.5957191438287658,0.013002600520104022,0.002000400080016003,0.3892778555711142
883779813_Pg352_17.fsa,Pg352,KY_05,KY,143,0.6233246649329867,0.005001000200040007,0.011602320464092819,0.3600720144028806
883779813_Pg352_18.fsa,Pg352,KY_05,KY,144,0.5970388155262105,0.003201280512204882,0.002601040416166467,0.3971588635454182
883779813_Pg352_19.fsa,Pg352,KY_05,KY,145,0.5963229416466828,0.0029976019184652283,0.0019984012789768186,0.3986810551558753
883779813_Pg352_20.fsa,Pg352,KY_05,KY,146,0.5493295977586552,0.019411646988192918,0.0012007204322593559,0.43005803482089255
883779813_Pg352_21.fsa,Pg352,KY_05,KY,147,0.5916816636672665,0.003399320135972806,0.004199160167966408,0.40071985602879423
883779813_Pg352_22.fsa,Pg352,KY_05,KY,148,0.5976390556222488,0.0024009603841536617,0.0010004001600640256,0.3989595838335334
883779813_Pg352_23.fsa,Pg352,KY_05,KY,149,0.5970388155262104,0.0022008803521408565,0.0010004001600640256,0.3997599039615847
883779813_Pg352_24.fsa,Pg352,KY_05,KY,150,0.5985999999999999,0.003,0.003,0.3954
883779813_Pg353_01.fsa,Pg353,EX_02,EX-S,151,0.19083816763352673,0.6599319863972795,0.0014002800560112022,0.14782956591318264
883779813_Pg353_02.fsa,Pg353,EX_02,EX-S,152,0.17443488697739548,0.774754950990198,0.004400880176035207,0.04640928185637126
883779813_Pg353_03.fsa,Pg353,EX_02,EX-S,153,0.1952781112444978,0.24689875950380152,0.004601840736294517,0.5532212885154061
883779813_Pg353_04.fsa,Pg353,EX_02,EX-S,154,0.3271345730853829,0.15796840631873627,0.01859628074385123,0.49630073985202966
883779813_Pg353_05.fsa,Pg353,EX_02,EX-S,155,0.22960000000000003,0.0514,0.061,0.658
883779813_Pg353_06.fsa,Pg353,EX_02,EX-S,156,0.0766,0.6512,0.0036,0.2686
883779813_Pg353_07.fsa,Pg353,EX_02,EX-S,157,0.0570114022804561,0.9377875575115022,0.0026005201040208044,0.0026005201040208044
883779813_Pg353_08.fsa,Pg353,EX_02,EX-S,158,0.12255097960815675,0.13294682127149138,0.031187524990003997,0.7133146741303479
883779813_Pg353_09.fsa,Pg353,EX_02,EX-S,159,0.16226490596238496,0.09243697478991597,0.04521808723489396,0.7000800320128051
883779813_Pg353_10.fsa,Pg353,EX_02,EX-S,160,0.1279744051189762,0.3755248950209958,0.04939012197560488,0.44711057788442304
883779813_Pg353_11.fsa,Pg353,EX_02,EX-S,161,0.2796,0.29579999999999995,0.004399999999999999,0.4202
883779813_Pg353_12.fsa,Pg353,EX_02,EX-S,162,0.16123224644928985,0.44428885777155436,0.003800760152030406,0.3906781356271254
883779813_Pg353_13.fsa,Pg353,EX_02,EX-S,163,0.16443288657731547,0.34806961392278457,0.0022004400880176037,0.48529705941188234
