sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12
883779813_Pg349_20.fsa,Pg349,KY_01,KY,76,0.001200960768614892,0.001401120896717374,0.00200160128102482,0.00100080064051241,0.1977582065652522,0.003402722177742194,0.00200160128102482,0.00100080064051241,0.00100080064051241,0.7850280224179343,0.001401120896717374,0.002802241793434748
883779813_Pg349_21.fsa,Pg349,KY_01,KY,77,0.0020024028834601526,0.0020024028834601526,0.0020024028834601526,0.0010012014417300763,0.19823788546255508,0.0026031237484981985,0.003203844613536244,0.0010012014417300763,0.0010012014417300763,0.7837404885863036,0.0012014417300760915,0.0020024028834601526
883779813_Pg349_22.fsa,Pg349,KY_01,KY,78,0.0030000000000000005,0.0034000000000000002,0.0026000000000000003,0.0018000000000000002,0.1984,0.008600000000000002,0.006,0.0046,0.0126,0.7556,0.0014,0.002
883779813_Pg349_23.fsa,Pg349,KY_01,KY,79,0.001001001001001001,0.0038038038038038036,0.007207207207207207,0.001001001001001001,0.1977977977977978,0.0048048048048048055,0.019219219219219222,0.002002002002002002,0.0016016016016016017,0.7499499499499499,0.0026026026026026027,0.009009009009009009
883779813_Pg349_24.fsa,Pg349,KY_01,KY,80,0.0020012007204322593,0.004602761656994196,0.008204922953772262,0.004602761656994196,0.19991995197118273,0.0028016810086051633,0.003802281368821293,0.0040024014408645186,0.002601560936561937,0.7554532719631779,0.0014008405043025817,0.010606363818290976
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.0010006003602161296,0.0038022813688212928,0.9717830698419051,0.0010006003602161296,0.003802281368821293,0.002601560936561937,0.003001801080648389,0.0010006003602161296,0.0010006003602161296,0.0078046828096858135,0.0012007204322593559,0.0020012007204322593
883779813_Pg350_02.fsa,Pg350,KY_03,KY,82,0.2665066026410564,0.009203681472589036,0.15626250500200078,0.012404961984793917,0.06022408963585434,0.18887555022008803,0.012204881952781113,0.008403361344537815,0.006602641056422569,0.23869547819127654,0.015006002400960387,0.025610244097639057
883779813_Pg350_03.fsa,Pg350,KY_03,KY,83,0.001,0.002,0.9805999999999999,0.001,0.0024000000000000002,0.0028,0.001,0.002,0.0012000000000000001,0.0028000000000000004,0.0012000000000000001,0.002
883779813_Pg350_04.fsa,Pg350,KY_03,KY,84,9.996001599360256e-4,0.01739304278288685,0.905437824870052,0.007197121151539385,0.002998800479808077,0.005597760895641743,0.039184326269492205,0.0017992802878848463,0.002598960415833667,0.009596161535385846,0.0013994402239104358,0.005797680927628949
883779813_Pg350_05.fsa,Pg350,KY_03,KY,85,0.0010010010010010012,0.003803803803803804,0.5961961961961961,0.0010010010010010012,0.07447447447447447,0.004204204204204204,0.0016016016016016019,0.0010010010010010012,0.0010010010010010012,0.3123123123123123,0.0012012012012012014,0.0022022022022022024
