sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
883779813_Pg349_18.fsa,Pg349,KY_01,KY,74,0.0021999999999999997,0.20079999999999995,0.0033999999999999994,0.0026000000000000003,0.002,0.789
883779813_Pg349_19.fsa,Pg349,KY_01,KY,75,0.002399040383846462,0.2155137944822071,0.004598160735705718,0.006597361055577769,0.001999200319872051,0.7688924430227909
883779813_Pg349_20.fsa,Pg349,KY_01,KY,76,0.0020012007204322593,0.20272163297978782,0.0040024014408645186,0.0012007204322593559,0.0012007204322593559,0.7888733239943967
883779813_Pg349_21.fsa,Pg349,KY_01,KY,77,0.001999600079984003,0.2017596480703859,0.003399320135972805,0.001999600079984003,0.0017996400719856032,0.7890421915616875
883779813_Pg349_22.fsa,Pg349,KY_01,KY,78,0.012395041983206718,0.2155137944822071,0.004598160735705719,0.001999200319872051,0.0029988004798080768,0.7624950019992003
883779813_Pg349_23.fsa,Pg349,KY_01,KY,79,0.0019992003198720516,0.2031187524990004,0.006797281087564977,9.996001599360258e-4,0.0019992003198720516,0.7850859656137545
883779813_Pg349_24.fsa,Pg349,KY_01,KY,80,0.0024000000000000002,0.1982,0.0116,0.0054,0.0026,0.7798
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.002000400080016003,0.38787757551510305,0.007001400280056013,0.0010002000400080016,0.002800560112022404,0.5993198639727946
883779813_Pg350_02.fsa,Pg350,KY_03,KY,82,0.03900780156031206,0.23564712942588514,0.04180836167233447,0.3660732146429286,0.008801760352070415,0.3086617323464693
883779813_Pg350_03.fsa,Pg350,KY_03,KY,83,0.0011995201919232307,0.3972411035585765,0.0027988804478208708,0.0013994402239104356,0.004198320671731307,0.5931627349060375
883779813_Pg350_04.fsa,Pg350,KY_03,KY,84,0.0010002000400080016,0.397879575915183,0.014002800560112024,0.001800360072014403,0.0026005201040208044,0.5827165433086617
883779813_Pg350_05.fsa,Pg350,KY_03,KY,85,0.0010002000400080016,0.3932786557311462,0.003000600120024005,0.0010002000400080016,0.0016003200640128028,0.600120024004801
883779813_Pg350_06.fsa,Pg350,KY_03,KY,86,0.005201040208041609,0.4042808561712342,0.007401480296059211,0.013002600520104022,0.008801760352070413,0.5613122624524906
883779813_Pg350_07.fsa,Pg350,KY_03,KY,87,0.0018007202881152463,0.40756302521008403,0.0078031212484993995,0.0012004801920768309,0.002601040416166467,0.5790316126450581
883779813_Pg350_08.fsa,Pg350,KY_03,KY,88,0.05620000000000001,0.4274,0.0048000000000000004,0.0021999999999999997,0.0334,0.476
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,0.0038,0.3964,0.0068000000000000005,0.001,0.004,0.588
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.0021995600879824036,0.389122175564887,0.011397720455908818,0.0021995600879824036,0.002999400119976005,0.5920815836832635
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.0038,0.39459999999999995,0.006,0.0012000000000000001,0.004200000000000001,0.5902
883779813_Pg350_12.fsa,Pg350,KY_03,KY,92,0.003998400639744102,0.40143942423030793,0.018792483006797284,0.001999200319872051,0.00859656137544982,0.5651739304278289
883779813_Pg350_13.fsa,Pg350,KY_03,KY,93,0.003802281368821293,0.4010406243746248,0.004202521512907746,0.0014008405043025817,0.0020012007204322593,0.5875525315189113
883779813_Pg350_14.fsa,Pg350,KY_03,KY,94,0.018792483006797277,0.3908436625349859,0.020191923230707717,0.003798480607756897,0.024990003998400637,0.5413834466213514
883779813_Pg350_15.fsa,Pg350,KY_03,KY,95,0.0031993601279744046,0.3973205358928214,0.042791441711657656,0.0017996400719856027,0.0015996800639872023,0.5532893421315737
883779813_Pg350_16.fsa,Pg350,KY_03,KY,96,0.0040032025620496394,0.39551641313050434,0.0036028823058446755,0.0010008006405124099,0.0010008006405124099,0.5948759007205765
883779813_Pg350_17.fsa,Pg350,KY_03,KY,97,0.001199760047990402,0.3747250549890021,0.01059788042391522,0.001199760047990402,0.001999600079984003,0.6102779444111178
883779813_Pg350_18.fsa,Pg350,KY_03,KY,98,0.00400320256204964,0.0478382706164932,0.9109287429943955,0.006405124099279425,0.009607686148919138,0.021216973578863096
