sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,0.0033999999999999994,0.197,0.398,0.0036000000000000003,0.39799999999999996
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.0031987205117952823,0.19932027189124352,0.37924830067972815,0.002598960415833667,0.4156337465013994
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.003999200159968006,0.19876024795040992,0.39092181563687267,0.004199160167966408,0.402119576084783
883779813_Pg350_12.fsa,Pg350,KY_03,KY,92,0.0062,0.1964,0.39859999999999995,0.0034000000000000002,0.3954
883779813_Pg350_13.fsa,Pg350,KY_03,KY,93,0.002000400080016003,0.19903980796159235,0.40228045609121826,0.003000600120024005,0.3936787357471494
883779813_Pg350_14.fsa,Pg350,KY_03,KY,94,0.016409845907544532,0.1953171903141885,0.4004402641584951,0.0162097258355013,0.37162297378427056
883779813_Pg350_15.fsa,Pg350,KY_03,KY,95,0.001999200319872051,0.18972411035585768,0.4492203118752499,0.002399040383846462,0.3566573370651739
883779813_Pg350_16.fsa,Pg350,KY_03,KY,96,0.0010004001600640256,0.19607843137254904,0.39755902360944384,0.004001600640256103,0.401360544217687
883779813_Pg350_17.fsa,Pg350,KY_03,KY,97,0.0019992003198720507,0.17792882846861252,0.377249100359856,0.0015993602558976407,0.4412235105957617
883779813_Pg350_18.fsa,Pg350,KY_03,KY,98,0.016603320664132826,0.08481696339267855,0.617123424684937,0.00620124024804961,0.27525505101020203
883779813_Pg350_19.fsa,Pg350,KY_03,KY,99,0.0010012014417300763,0.19943932719263116,0.4046856227472968,0.0010012014417300763,0.3938726471766119
883779813_Pg350_20.fsa,Pg350,KY_03,KY,100,0.0024000000000000002,0.1954,0.39159999999999995,0.003,0.40759999999999996
883779813_Pg350_21.fsa,Pg350,KY_03,KY,101,0.0010002000400080016,0.19963992798559713,0.4216843368673735,0.001200240048009602,0.3764752950590117
883779813_Pg350_22.fsa,Pg350,KY_03,KY,102,0.0022,0.1976,0.4204,0.002,0.37779999999999997
883779813_Pg351_01.fsa,Pg351,KY_04,KY,103,0.0017996400719856032,0.2005598880223955,0.585882823435313,0.001999600079984003,0.20975804839032192
883779813_Pg351_02.fsa,Pg351,KY_04,KY,104,0.07238552289542091,0.19876024795040995,0.5480903819236153,0.01179764047190562,0.16896620675864826
883779813_Pg351_03.fsa,Pg351,KY_04,KY,105,0.01479112532480512,0.20047971217269636,0.578652808315011,0.004597241655006996,0.20147911253248052
883779813_Pg351_04.fsa,Pg351,KY_04,KY,106,0.001999600079984003,0.19956008798240352,0.5958808238352329,9.998000399920016e-4,0.20155968806238753
883779813_Pg351_05.fsa,Pg351,KY_04,KY,107,0.0128,0.23579999999999995,0.5748,0.007000000000000001,0.16960000000000003
883779813_Pg351_06.fsa,Pg351,KY_04,KY,108,0.0046,0.1996,0.5428,0.0034000000000000002,0.2496
883779813_Pg351_07.fsa,Pg351,KY_04,KY,109,0.002599480103979204,0.19636072785442915,0.5750849830033993,0.002999400119976005,0.2229554089182163
883779813_Pg351_08.fsa,Pg351,KY_04,KY,110,0.0017982017982017986,0.20119880119880118,0.5960039960039961,0.0017982017982017986,0.19920079920079922
883779813_Pg351_09.fsa,Pg351,KY_04,KY,111,0.003001801080648389,0.18010806483890335,0.6211727036221734,0.0014008405043025817,0.19431658995397239
883779813_Pg351_10.fsa,Pg351,KY_04,KY,112,0.0024004800960192043,0.20224044808961794,0.5877175435087016,0.0012002400480096021,0.2064412882576515
883779813_Pg351_11.fsa,Pg351,KY_04,KY,113,0.006795922446532078,0.1892864281431141,0.5896462122726364,0.0023985608634819106,0.2118728762742354
