sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.0038030424339471577,0.001401120896717374,0.001200960768614892,0.002201761409127302,0.00600480384307446,0.1989591673338671,0.5890712570056045,0.19735788630904724
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.0013997200559888023,0.0017996400719856032,0.0013997200559888023,9.998000399920016e-4,0.001999600079984003,0.001999600079984003,0.002399520095980804,0.9880023995200959
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0021986807915250852,0.0019988007195682594,0.0013991605036977814,0.0013991605036977814,0.0019988007195682594,0.0019988007195682594,0.002398560863481911,0.9866080351788927
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.0024000000000000002,0.0028,0.002,0.0022,0.004200000000000001,0.1986,0.5875999999999999,0.2002
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.03541416566626651,0.002200880352140856,0.001600640256102441,0.004601840736294518,0.018607442977190875,0.2154861944777911,0.5332132853141256,0.18887555022008806
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.0032025620496397124,0.001401120896717374,0.001401120896717374,0.0018014411529223382,0.002802241793434748,0.19895916733386712,0.588070456365092,0.2023618895116093
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.0010006003602161296,0.0014008405043025817,0.0010006003602161296,0.0010006003602161296,0.0024014408645187117,0.20112067240344206,0.5919551731038624,0.20012007204322596
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.0016009605763458077,0.0028016810086051638,0.0010006003602161296,0.0012007204322593559,0.0032019211526916154,0.19951971182709627,0.5869521713027817,0.20372223334000403
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.005201040208041608,0.003800760152030406,0.0022004400880176037,0.001800360072014403,0.014802960592118422,0.21544308861772352,0.5667133426685337,0.19003800760152031
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.0014005602240896359,0.0010004001600640256,0.0010004001600640256,0.0012004801920768309,0.0022008803521408565,0.20028011204481794,0.5930372148859544,0.19987995198079234
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.005003001801080649,0.0010006003602161296,0.0010006003602161296,0.0012007204322593559,0.007404442665599359,0.22993796277766662,0.5715429257554532,0.18290974584750852
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.0014014014014014013,0.0020020020020020024,0.001001001001001001,0.0012012012012012014,0.0036036036036036037,0.1997997997997998,0.5903903903903904,0.2006006006006006
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.0022004400880176037,0.001800360072014403,0.0010002000400080016,0.0014002800560112022,0.0044008801760352075,0.1998399679935987,0.5889177835567113,0.20044008801760352
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.002600520104020805,0.002000400080016003,0.0012002400480096021,0.0014002800560112022,0.008401680336067216,0.21704340868173636,0.5681136227245449,0.19923984796959393
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.001800720288115246,0.001600640256102441,0.001600640256102441,0.0024009603841536617,0.0034013605442176874,0.19807923169267708,0.5906362545018007,0.2004801920768307
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.0020016012810248206,0.0018014411529223382,0.00200160128102482,0.001601281024819856,0.004403522818254604,0.11549239391513212,0.33767013610888713,0.5350280224179343
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.0012002400480096021,0.0012002400480096021,0.0012002400480096021,0.0012002400480096021,0.0032006401280256056,0.10782156431286256,0.16283256651330266,0.7213442688537708
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.0014005602240896359,0.0024009603841536617,0.0014005602240896359,0.0010004001600640256,0.0020008003201280513,0.001600640256102441,0.0022008803521408565,0.9879951980792316
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.002598440935438737,0.0021986807915250852,0.0015990405756546075,0.0017989206476114335,0.00979412352588447,0.10993403957625426,0.2944233459924046,0.5776534079552269
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.0010004001600640256,0.0014005602240896359,0.0010004001600640256,0.0010004001600640256,0.0024009603841536617,0.0020008003201280513,0.0024009603841536617,0.988795518207283
883779813_Pg348_21.fsa,Pg348,EX_01,EX-S,55,0.0029988004798080768,0.0033986405437824874,0.0025989604158336665,0.0021991203518592563,0.005797680927628949,0.12075169932027188,0.4310275889644143,0.43122750899640144
883779813_Pg348_22.fsa,Pg348,EX_01,EX-S,56,0.001600320064012803,0.0014002800560112025,0.0014002800560112025,0.001600320064012803,0.0044008801760352075,0.20144028805761152,0.5881176235247049,0.20004000800160038
883779813_Pg348_23.fsa,Pg348,EX_01,EX-S,57,0.0021982414068745008,0.0037969624300559558,0.001998401278976819,0.014188649080735414,0.0077937649880095924,0.21023181454836132,0.569744204636291,0.19004796163069543
883779813_Pg348_24.fsa,Pg348,EX_01,EX-S,58,0.0057988402319536095,0.007398520295940813,0.014397120575884825,0.01119776044791042,0.006798640271945612,0.19556088782243553,0.5700859828034394,0.18876224755048993
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.18032786885245902,0.0033986405437824874,0.012994802079168331,0.2061175529788085,0.004398240703718513,0.2576969212315074,0.3320671731307477,0.0029988004798080768
