sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
883779813_Pg349_07.fsa,Pg349,KY_01,KY,63,0.7816506410256411,0.0010016025641025642,0.001201923076923077,0.0020032051282051285,0.0020032051282051285,0.0010016025641025642,0.012419871794871796,0.18990384615384615,0.0030048076923076925,0.001201923076923077,0.001201923076923077,0.0014022435897435897,0.0020032051282051285
883779813_Pg349_08.fsa,Pg349,KY_01,KY,64,0.7854712827696617,0.0012007204322593559,0.0010006003602161296,0.002201320792475485,0.0020012007204322593,0.0010006003602161296,0.002201320792475485,0.19691815089053433,0.0020012007204322593,0.0012007204322593559,0.0014008405043025817,0.0014008405043025817,0.0020012007204322593
883779813_Pg349_09.fsa,Pg349,KY_01,KY,65,0.7866853258696522,9.996001599360256e-4,9.996001599360256e-4,0.0021991203518592563,0.0021991203518592563,9.996001599360256e-4,0.0021991203518592563,0.19632147141143544,0.0013994402239104358,9.996001599360256e-4,0.001199520191923231,0.0017992802878848463,0.001999200319872051
883779813_Pg349_10.fsa,Pg349,KY_01,KY,66,0.7790022039671408,0.0010018032458425166,0.00120216389501102,0.002003606491685033,0.00360649168503306,0.0010018032458425166,0.00360649168503306,0.19194550190342616,0.007012622720897617,0.0010018032458425166,0.0022039671408535366,0.0020036064916850336,0.004407934281707072
883779813_Pg349_11.fsa,Pg349,KY_01,KY,67,0.7750449910017996,0.0011997600479904018,9.998000399920014e-4,0.002999400119976004,0.006398720255948809,9.998000399920014e-4,0.0019996000799840027,0.2007598480303939,0.002799440111977604,0.0011997600479904018,0.0019996000799840027,0.0015996800639872023,0.0019996000799840027
883779813_Pg349_12.fsa,Pg349,KY_01,KY,68,0.7671534306861372,0.0010002000400080016,0.0010002000400080016,0.0026005201040208044,0.0028005601120224045,0.0010002000400080016,0.020004000800160033,0.1930386077215443,0.004200840168033607,0.0010002000400080016,0.0016003200640128026,0.0016003200640128026,0.0030006001200240046
883779813_Pg349_13.fsa,Pg349,KY_01,KY,69,0.7735999999999998,0.0021999999999999997,0.0026000000000000003,0.002,0.0048000000000000004,0.001,0.004600000000000001,0.1936,0.005600000000000001,0.0012000000000000001,0.003,0.0032,0.0026000000000000003
883779813_Pg349_14.fsa,Pg349,KY_01,KY,70,0.7878000000000001,0.001,0.001,0.002,0.0012000000000000001,0.001,0.0018000000000000002,0.1968,0.002,0.001,0.0012000000000000001,0.0012000000000000001,0.002
883779813_Pg349_15.fsa,Pg349,KY_01,KY,71,0.789305027037853,0.0012016823552974164,0.001001401962747847,0.0012016823552974164,0.0012016823552974164,0.0072100941317844985,0.003805327458441818,0.17945123172441418,0.004806729421189666,0.001001401962747847,0.002002803925495694,0.0016022431403965552,0.006208692169036651
883779813_Pg349_16.fsa,Pg349,KY_01,KY,72,0.7421484296859372,0.003600720144028806,0.005201040208041609,0.007601520304060812,0.003200640128025605,0.003600720144028806,0.008801760352070413,0.1952390478095619,0.011802360472094417,0.0014002800560112022,0.0020004000800160036,0.012002400480096018,0.003400680136027205
883779813_Pg349_17.fsa,Pg349,KY_01,KY,73,0.7825565113022604,0.002000400080016003,0.002400480096019204,0.002000400080016003,0.002000400080016003,0.0010002000400080016,0.002400480096019204,0.19423884776955389,0.004800960192038408,0.0010002000400080016,0.0014002800560112022,0.0022004400880176037,0.002000400080016003
883779813_Pg349_18.fsa,Pg349,KY_01,KY,74,0.7859719438877756,0.0012024048096192386,0.0014028056112224449,0.0024048096192384773,0.0012024048096192386,0.001002004008016032,0.0012024048096192386,0.1969939879759519,0.002004008016032064,0.0012024048096192386,0.0012024048096192386,0.002004008016032064,0.0022044088176352704
883779813_Pg349_19.fsa,Pg349,KY_01,KY,75,0.7471471471471473,0.001001001001001001,0.002202202202202202,0.00940940940940941,0.007207207207207208,0.001001001001001001,0.003003003003003003,0.21501501501501497,0.0028028028028028026,0.0014014014014014013,0.0036036036036036037,0.0020020020020020024,0.004204204204204205
883779813_Pg349_20.fsa,Pg349,KY_01,KY,76,0.7799119647859144,0.0010004001600640256,0.0010004001600640256,0.0020008003201280513,0.0018007202881152463,0.0010004001600640256,0.0020008003201280513,0.19967987194877954,0.0036014405762304926,0.0010004001600640256,0.0014005602240896359,0.0020008003201280517,0.003601440576230492
