sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
883779813_Pg353_16.fsa,Pg353,EX_02,EX-S,166,0.01140456182472989,0.0024009603841536617,0.43297318927571027,0.0038015206082432974,0.34473789515806325,0.20108043217286914,0.0036014405762304926
883779813_Pg353_17.fsa,Pg353,EX_02,EX-S,167,0.0037992401519696063,0.43231353729254157,0.19096180763847231,0.008598280343931213,0.19596080783843234,0.16216756648670266,0.0061987602479504095
883779813_Pg353_18.fsa,Pg353,EX_02,EX-S,168,0.0059976009596161535,0.5035985605757698,0.17732906837265094,0.0043982407037185135,0.17972810875649742,0.12634946021591364,0.0025989604158336665
883779813_Pg353_19.fsa,Pg353,EX_02,EX-S,169,0.28605721144228846,0.629125825165033,0.0022004400880176033,0.06741348269653931,0.002000400080016003,0.011002200440088018,0.0022004400880176037
883779813_Pg353_20.fsa,Pg353,EX_02,EX-S,170,0.07524514708825294,0.750250150090054,0.037022213327996795,0.004402641584950969,0.020412247348409043,0.10926555933560136,0.0034020412247348407
883779813_Pg353_21.fsa,Pg353,EX_02,EX-S,171,0.05118976204759049,0.0689862027594481,0.3125374925014997,0.004799040191961608,0.36072785442911415,0.19896020795840832,0.0027994401119776045
883779813_Pg353_22.fsa,Pg353,EX_02,EX-S,172,0.28162530024019217,0.07806244995996797,0.19875900720576462,0.06885508406725381,0.2069655724579664,0.1523218574859888,0.013410728582866294
883779813_Pg353_23.fsa,Pg353,EX_02,EX-S,173,0.008003201280512205,0.9367747098839535,0.0078031212484993995,0.0038015206082432974,0.010804321728691477,0.029411764705882356,0.0034013605442176874
883779813_Pg353_24.fsa,Pg353,EX_02,EX-S,174,0.49669933986797354,0.2618523704740949,0.007801560312062413,0.10482096419283858,0.020804160832166435,0.09921984396879377,0.008801760352070413
883779813_Pg354_01.fsa,Pg354,KY_06,KY,175,0.007604562737642587,0.002201320792475486,0.90074044426656,0.03442065239143487,0.033219931959175504,0.01140684410646388,0.01040624374624775
883779813_Pg354_02.fsa,Pg354,KY_06,KY,176,0.010797840431913616,0.006998600279944012,0.778644271145771,0.07278544291141772,0.07238552289542091,0.029794041191761652,0.02859428114377125
883779813_Pg354_10.fsa,Pg354,KY_06,KY,177,0.02139572085582883,0.001999600079984003,0.9482103579284143,0.010797840431913617,0.007398520295940811,0.005198960207958409,0.004999000199960009
883779813_Pg354_11.fsa,Pg354,KY_06,KY,178,0.09643857543017209,0.0010004001600640256,0.6820728291316527,0.12184873949579832,0.012805122048819529,0.04241696678671469,0.04341736694677872
883779813_Pg354_12.fsa,Pg354,KY_06,KY,179,0.005201040208041609,0.001800360072014403,0.9089817963592719,0.013802760552110424,0.06221244248849769,0.004000800160032006,0.004000800160032006
883779813_Pg354_13.fsa,Pg354,KY_06,KY,180,0.010006003602161298,0.0024014408645187117,0.9483690214128477,0.022013207924754856,0.0056033620172103275,0.006003602161296778,0.005603362017210326
883779813_Pg354_14.fsa,Pg354,KY_06,KY,181,0.02018385291766587,0.001798561151079137,0.43645083932853723,0.14508393285371704,0.2188249400479616,0.08653077537969625,0.09112709832134294
883779813_Pg354_15.fsa,Pg354,KY_06,KY,182,0.010402080416083216,0.0022004400880176037,0.9447889577915582,0.01840368073614723,0.017603520704140826,0.003600720144028806,0.0030006001200240046
883779813_Pg354_22.fsa,Pg354,KY_06,KY,183,0.00840504302581549,0.0012007204322593557,0.95037022213328,0.009605763458074845,0.01721032619571743,0.004602761656994196,0.008605163097858715
883779813_Pg354_23.fsa,Pg354,KY_06,KY,184,0.005398920215956809,0.0015996800639872027,0.9788042391521694,0.004599080183963209,0.0037992401519696063,0.0025994801039792045,0.0031993601279744054
883779813_Pg354_24.fsa,Pg354,KY_06,KY,185,0.0194,0.0048000000000000004,0.9294,0.022600000000000002,0.0062,0.0094,0.0082
883779813_Pg355_01.fsa,Pg355,EX_03,EX-S,186,0.0010010010010010012,0.98998998998999,0.0010010010010010012,0.0020020020020020024,0.0010010010010010012,0.0028028028028028026,0.002202202202202203
883779813_Pg355_02.fsa,Pg355,EX_03,EX-S,187,0.0021986807915250852,0.9858085148910654,0.0017989206476114335,0.0053967619428343,0.0011992804317409555,0.0015990405756546075,0.0019988007195682594
883779813_Pg355_03.fsa,Pg355,EX_03,EX-S,188,0.009400000000000002,0.9644,0.0084,0.0046,0.003,0.004600000000000001,0.005600000000000001
883779813_Pg355_04.fsa,Pg355,EX_03,EX-S,189,0.006399999999999999,0.3136,0.23700000000000002,0.004000000000000001,0.265,0.1724,0.0016
883779813_Pg355_05.fsa,Pg355,EX_03,EX-S,190,0.2994598919783957,0.4722944588917783,0.01920384076815363,0.06821364272854571,0.048609721944388874,0.06961392278455691,0.022604520904180837
883779813_Pg355_06.fsa,Pg355,EX_03,EX-S,191,0.013991605036977814,0.9686188287027783,0.004397361583050169,0.004997001798920647,0.002998201079352388,0.0021986807915250844,0.0027983210073955623
883779813_Pg355_07.fsa,Pg355,EX_03,EX-S,192,0.014005602240896359,0.9649859943977591,0.006602641056422568,0.006202480992396958,0.0030012004801920765,0.0024009603841536613,0.0028011204481792713
883779813_Pg355_08.fsa,Pg355,EX_03,EX-S,193,0.007404442665599359,0.03862317390434261,0.37522513508104866,0.004602761656994196,0.3572143285971583,0.19931959175505304,0.01761056633980388
883779813_Pg355_09.fsa,Pg355,EX_03,EX-S,194,0.002399520095980804,0.9872025594881024,0.0021995600879824036,0.002999400119976005,0.001199760047990402,0.0017996400719856032,0.0021995600879824036
