sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0058011602320464095,0.19863972794558912,0.0022004400880176037,0.007001400280056013,0.0016003200640128028,0.7809561912382477,0.0010002000400080016,0.0010002000400080016,0.001800360072014403
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0020008003201280513,0.19787915166066425,0.004201680672268907,0.0012004801920768309,0.0020008003201280513,0.788515406162465,0.0010004001600640256,0.0010004001600640256,0.0022008803521408565
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.002601040416166467,0.19827931172468985,0.002601040416166467,0.0012004801920768309,0.0022008803521408565,0.788515406162465,0.0010004001600640256,0.0010004001600640256,0.002601040416166467
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.00200160128102482,0.19855884707766214,0.0018014411529223382,0.0012009607686148923,0.0024019215372297845,0.7898318654923939,0.00100080064051241,0.001401120896717374,0.0018014411529223382
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.19556088782243553,0.001999600079984003,0.7768446310737852,0.0025994801039792045,0.009798040391921616,0.006398720255948811,0.001199760047990402,0.0025994801039792045,0.002999400119976005
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.20319999999999996,0.0016,0.78,0.0014,0.004600000000000001,0.005599999999999999,0.001,0.001,0.0016
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.20599999999999996,0.0046,0.7598,0.006200000000000001,0.0108,0.0027999999999999995,0.0024000000000000002,0.0028000000000000004,0.0046
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.21175764847030598,0.01819636072785443,0.7022595480903819,0.0037992401519696063,0.04059188162367526,0.01259748050389922,0.003999200159968006,0.002799440111977605,0.003999200159968006
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.1950439648281375,0.020583533173461233,0.7559952038369304,0.00419664268585132,0.003796962430055956,0.014788169464428461,0.001398880895283773,0.001398880895283773,0.002797761790567546
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.202,0.0076,0.7672,0.0038,0.0076,0.004,0.0014,0.0014,0.005
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.2039592081583683,0.016996600679864027,0.7216556688662268,0.0035992801439712063,0.03439312137572485,0.004799040191961608,0.0061987602479504095,0.001999600079984003,0.006398720255948811
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.19451671002601562,0.003602161296778068,0.771462877726636,0.012407444466680009,0.0020012007204322597,0.004002401440864519,0.0020012007204322597,0.008004802881729039,0.0020012007204322597
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.2697078831532613,0.0010004001600640256,0.6954781912765106,0.001600640256102441,0.014605842336934774,0.0020008003201280513,0.008403361344537816,0.003201280512204882,0.004001600640256103
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.2687612567540525,0.0012007204322593557,0.7070242145287172,0.0010006003602161296,0.012607564538723233,0.002201320792475485,0.0018010806483890335,0.0010006003602161296,0.004402641584950969
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.19875900720576462,0.0026020816653322663,0.7824259407526021,0.0022017614091273015,0.006805444355484388,0.0028022417934347476,0.001401120896717374,0.00100080064051241,0.00200160128102482
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.001999200319872051,0.0013994402239104358,0.39584166333466614,0.0013994402239104358,0.0021991203518592563,0.5921631347461015,0.0013994402239104358,0.0017992802878848463,0.0017992802878848463
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.001999600079984003,0.0015996800639872027,0.3957208558288342,0.0017996400719856032,0.002199560087982403,0.5916816636672666,0.0013997200559888023,0.0017996400719856032,0.0017996400719856032
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.19807923169267708,0.002601040416166467,0.7807122849139655,0.002200880352140856,0.004201680672268908,0.005002000800320128,0.0020008003201280513,0.0020008003201280513,0.003201280512204882
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.2154430886177235,0.0028005601120224045,0.7545509101820365,0.003200640128025605,0.01220244048809762,0.0058011602320464095,0.0016003200640128026,0.001800360072014403,0.0026005201040208044
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.19827931172468985,0.0010004001600640256,0.7911164465786314,0.0012004801920768309,0.0022008803521408565,0.0024009603841536617,0.0012004801920768309,0.0010004001600640256,0.001600640256102441
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.20112067240344206,0.0014008405043025817,0.7866720032019212,0.0010006003602161296,0.002201320792475485,0.003402041224734841,0.0010006003602161296,0.0010006003602161296,0.0022013207924754855
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.1987987987987988,0.0012012012012012014,0.78998998998999,0.0016016016016016017,0.0024024024024024027,0.002602602602602603,0.001001001001001001,0.001001001001001001,0.0014014014014014013
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.22569027611044418,0.0012004801920768309,0.7358943577430972,0.0012004801920768309,0.01720688275310124,0.0056022408963585435,0.0020008003201280513,0.001600640256102441,0.009603841536614645
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.19956008798240352,9.998000399920016e-4,0.7914417116576684,9.998000399920016e-4,0.001999600079984003,0.0017996400719856032,9.998000399920016e-4,9.998000399920016e-4,0.001199760047990402
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.24024024024024027,0.0014014014014014015,0.7413413413413413,0.0010010010010010012,0.00880880880880881,0.0038038038038038045,0.0010010010010010012,0.0010010010010010012,0.0014014014014014015
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.1994797919167667,0.0010004001600640256,0.7901160464185675,0.0014005602240896359,0.003001200480192077,0.0018007202881152463,0.0010004001600640256,0.0010004001600640256,0.0012004801920768309
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.1990796318527411,0.0012004801920768309,0.7889155662264906,0.001600640256102441,0.0038015206082432974,0.0022008803521408565,0.0010004001600640256,0.0010004001600640256,0.0012004801920768309
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.2054054054054054,0.0014014014014014015,0.7773773773773774,0.0010010010010010012,0.004604604604604606,0.003803803803803804,0.0010010010010010012,0.0010010010010010012,0.004404404404404406
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.19787915166066425,0.001600640256102441,0.7867146858743497,0.001600640256102441,0.003201280512204882,0.003601440576230492,0.001600640256102441,0.0014005602240896359,0.0024009603841536617
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.1142228445689138,0.001200240048009602,0.6269253850770155,0.0016003200640128026,0.0034006801360272057,0.24604920984196837,0.001800360072014403,0.0016003200640128026,0.003200640128025605
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.09921984396879377,0.001800360072014403,0.45129025805161027,0.0010002000400080016,0.003400680136027206,0.43848769753950795,0.0010002000400080016,0.0014002800560112022,0.0024004800960192043
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.0018000000000000002,0.0014,0.3958,0.0021999999999999997,0.0021999999999999997,0.5918,0.001,0.0024000000000000002,0.0014
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.10944377751100441,0.0012004801920768309,0.6144457783113246,0.0014005602240896359,0.008403361344537816,0.2581032412965186,0.001600640256102441,0.001800720288115246,0.003601440576230492
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.0022008803521408565,0.0010004001600640256,0.3971588635454182,0.0012004801920768309,0.002601040416166467,0.5916366546618647,0.0010004001600640256,0.0014005602240896359,0.0018007202881152463
883779813_Pg348_21.fsa,Pg348,EX_01,EX-S,55,0.1201759648070386,0.0013997200559888023,0.7088582283543291,0.0015996800639872027,0.0037992401519696063,0.15336932613477303,0.002999400119976005,0.002799440111977604,0.004999000199960009
883779813_Pg348_22.fsa,Pg348,EX_01,EX-S,56,0.19991995197118273,0.0012007204322593559,0.7878727236341805,0.0010006003602161296,0.003001801080648389,0.0026015609365619375,0.0010006003602161296,0.0010006003602161296,0.0024014408645187117
883779813_Pg348_23.fsa,Pg348,EX_01,EX-S,57,0.21795640871825633,0.013197360527894421,0.7412517496500699,0.004999000199960009,0.009598080383923216,0.002999400119976005,9.998000399920016e-4,0.001199760047990402,0.007798440311937612
