sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.002000400080016003,0.0022004400880176033,0.004600920184036806,0.012202440488097618,0.9207841568313663,0.002000400080016003,0.0014002800560112022,0.0010002000400080016,0.051010202040408084,0.0010002000400080016,0.001800360072014403
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.001999200319872051,0.001999200319872051,0.0059976009596161535,0.0021991203518592567,0.9760095961615354,0.0021991203518592567,0.0013994402239104358,0.002598960415833667,0.001999200319872051,9.996001599360256e-4,0.0025989604158336665
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.0012009607686148923,0.001401120896717374,0.00200160128102482,0.0012009607686148923,0.0022017614091273023,0.9855884707766214,0.00100080064051241,0.00100080064051241,0.0012009607686148923,0.0018014411529223382,0.001401120896717374
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0015996800639872027,0.0013997200559888023,0.0021995600879824036,0.001199760047990402,0.0021995600879824036,0.9832033593281343,0.001199760047990402,0.0013997200559888023,0.001999600079984003,0.0021995600879824036,0.0013997200559888023
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.0023980815347721825,0.0025979216626698647,0.0035971223021582736,0.004396482813749001,0.9704236610711431,0.004196642685851319,0.0019984012789768186,0.0019984012789768186,0.0033972821742605914,0.0023980815347721825,0.0025979216626698643
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.0023980815347721825,0.015187849720223825,0.007993605115907276,0.005595523581135092,0.9488409272581936,0.0037969624300559558,0.001598721023181455,0.0029976019184652283,0.006994404476418866,0.0019984012789768186,0.0025979216626698647
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.001600640256102441,0.0020008003201280513,0.0020008003201280513,0.0012004801920768309,0.9843937575030013,0.0028011204481792713,0.0010004001600640256,0.0010004001600640256,0.0020008003201280513,0.0010004001600640256,0.0010004001600640256
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.0024009603841536617,0.0012004801920768309,0.0022008803521408565,0.002601040416166467,0.9791916766706682,0.0028011204481792717,0.0010004001600640256,0.0010004001600640256,0.004401760704281712,0.0010004001600640256,0.002200880352140856
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.001199520191923231,0.0013994402239104358,0.002399040383846462,0.001999200319872051,0.9820071971211515,0.003598560575769692,9.996001599360256e-4,9.996001599360256e-4,0.001999200319872051,0.002399040383846462,9.996001599360256e-4
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.00900360144057623,0.003001200480192077,0.01460584233693477,0.005402160864345739,0.9463785514205683,0.0036014405762304917,0.0020008003201280513,0.0010004001600640256,0.012204881952781113,0.0012004801920768309,0.001600640256102441
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,9.998000399920014e-4,9.998000399920014e-4,0.0019996000799840027,0.0011997600479904018,0.9868026394721054,0.0019996000799840027,9.998000399920014e-4,9.998000399920014e-4,0.0019996000799840027,9.998000399920014e-4,9.998000399920014e-4
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.0010006003602161296,0.0040024014408645186,0.009005403241945166,0.002601560936561937,0.9427656593956374,0.002801681008605163,0.0010006003602161296,0.0010006003602161296,0.03301981188713228,0.0010006003602161296,0.0018010806483890335
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,9.998000399920016e-4,0.0013997200559888023,0.0025994801039792045,0.0017996400719856032,0.9846030793841231,0.0021995600879824036,9.998000399920016e-4,9.998000399920016e-4,0.001999600079984003,0.0013997200559888023,9.998000399920016e-4
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.0010002000400080016,0.0016003200640128026,0.0028005601120224045,0.001800360072014403,0.9833966793358673,0.002400480096019204,0.0010002000400080016,0.0010002000400080016,0.002000400080016003,0.002000400080016003,0.0010002000400080016
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.004605526631958351,0.0022026431718061676,0.003404084901882259,0.0024028834601521835,0.973568281938326,0.0036043251902282743,0.0010012014417300763,0.0010012014417300763,0.005806968362034443,0.0010012014417300763,0.0014016820184221067
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.002,0.0024000000000000002,0.0024000000000000002,0.0032,0.9794,0.0036,0.0012000000000000001,0.001,0.002,0.001,0.0018000000000000002
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.0031993601279744054,0.0017996400719856032,0.0031993601279744054,0.002799440111977604,0.5664867026594681,0.41391721655668867,0.001999600079984003,9.998000399920016e-4,0.0027994401119776045,9.998000399920016e-4,0.0017996400719856032
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.0021995600879824036,0.0015996800639872027,0.0037992401519696063,0.0035992801439712063,0.2765446910617876,0.6672665466906619,9.998000399920016e-4,9.998000399920016e-4,0.03979204159168167,9.998000399920016e-4,0.002199560087982403
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.001001001001001001,0.0012012012012012014,0.0022022022022022024,0.0012012012012012014,0.0022022022022022024,0.984984984984985,0.001001001001001001,0.0012012012012012014,0.0012012012012012014,0.002602602602602603,0.0012012012012012014
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.002201761409127302,0.0018014411529223382,0.00600480384307446,0.004403522818254604,0.5192153722978383,0.45796637309847876,0.001401120896717374,0.001200960768614892,0.002401921537229784,0.00200160128102482,0.001401120896717374
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.001200960768614892,0.00100080064051241,0.002201761409127302,0.00200160128102482,0.00300240192153723,0.9843875100080065,0.00100080064051241,0.00100080064051241,0.00200160128102482,0.001200960768614892,0.00100080064051241
883779813_Pg348_21.fsa,Pg348,EX_01,EX-S,55,0.004600920184036807,0.003600720144028806,0.003200640128025605,0.0044008801760352075,0.6673334666933387,0.3062612522504501,0.0026005201040208044,0.0010002000400080016,0.0022004400880176037,0.0030006001200240046,0.001800360072014403
