species,state_region,voucher_code_clean,population_numeric_code,table1_population_code_raw,table1_population_code,table3_population_raw,geographic_area,workbook_voucher_code_raw,workbook_population_code,pg_population_label,collector,locality,ecoregion,lat_table1,long_table1,lat_pglo_coordinates,long_pglo_coordinates,lat_workbook,long_workbook,n_samples_table1,n_samples_table3,population_aliases,alias_notes
P. globosa,KY,351,351,Pgl351_KY,Pgl351_KY,Pgl351_KY,KY,351,Pgl351_KY,Pg351,"Edwards, Linan and Littlefield 351 (MO)","KY, Franklin, Ninevah Rd. (EO 04)",Bluegrass,38.11,-84.86999999999999,38.11136297,-84.87653998,38.11136297,-84.87653998,24,24,Pgl351_KY | 351 | Pg351,NA
P. globosa,KY,352,352,Pgl352_KY,Pgl352_KY,Pgl352_KY,KY,352,Pgl352_KY,Pg352,"Edwards, Linan and Littlefield (MO)","KY, Woodford, off Delaney Ferry Rd (Murphy property, EO28)",Bluegrass/ partially cultivated,37.97,-84.69,37.97017199,-84.69826201,37.970171990000004,-84.69826201,24,24,Pgl352_KY | 352 | Pg352,NA
P. globosa,KY,354,354,Pgl354_KY,Pgl354_KY,Pgl354_KY,KY,354,Pgl354_KY,Pg354,"Edwards, Linan and Littlefield (MO)","KY, Madison, Valley View (EO10a)",Bluegrass,37.839999999999996,-84.42,37.84898601,-84.42967599,37.84898601,-84.42967599,11,11,Pgl354_KY | 354 | Pg354,NA
P. globosa,TNE,356,356,Pgl356_TNE,Pgl356_TNE,Pgl356_TNE,TNE,356,Pgl356_TNE,Pg356,"Edwards, Albrecht, and Elam","TN, Smith, North of Cordell Hull Dam, Bluffs over Cumberland river (EO24)",Nashville Basin,36.3058,-85.94040000000001,36.3058,-85.9404,36.305800000000005,-85.9404,24,24,Pgl356_TNE | 356 | Pg356,NA
P. globosa,TNE,357,357,Pgl357_TNE,Pgl357_TNE,Pgl357_TNE,TNE,357,Pgl357_TNE,Pg357,"Edwards, Albrecht, and Elam (MO)","TN, Troutsdale, East of Hartsville Boat Ramp (EO03)",Nashville Basin,36.373599999999996,-86.17199999999998,36.3736,-86.172,36.373599999999996,-86.172,24,23,Pgl357_TNE | 357 | Pg357,NA
P. globosa,TNW,358,358,Pgl358_TNW,Pgl358_TNW,Pgl358_TNW,TNW,358,Pgl358_TNW,Pg358,"Edwards, Linan and Dell (MO)","TN, Davidson, McMinn’s bluff #1 (EO04)",Highland Rim,36.208363000000006,-86.98012600000001,36.208363,-86.980126,36.20836300000001,-86.980126,24,24,Pgl358_TNW | 358 | Pg358,NA
P. globosa,TNW,359,359,Pgl359_TNW,Pgl359_TNW,Pgl359_TNW,TNW,359,Pgl359_TNW,Pg359,"Edwards, Linan and Dell (MO)","TN, Davidson/Cheatham, McMinn’s bluff #3 (EO10)",Highland Rim,36.213167,-86.96192700000002,36.213167,-86.961927,36.213167,-86.961927,24,24,Pgl359_TNW | 359 | Pg359,NA
P. globosa,TNW,360,360,Pgl360_TNW,Pgl360_TNW,Pgl360_TNW,TNW,360,Pgl360_TNW,Pg360,"Edwards, Linan and Dell (MO)","TN, Cheatham, Lock B Rd. near Recycle Center/train tracks (EO01)",Highland Rim,36.242107000000004,-87.042081,36.242107,-87.042081,36.242107000000004,-87.042081,24,24,Pgl360_TNW | 360 | Pg360,NA
P. globosa,TNW,361,361,Pgl361_TNW,Pgl361_TNW,Pgl361_TNW,TNW,361,Pgl361_TNW,Pg361,"Edwards, Linan and Dell","TN, Montgomery, Jarrell Ridge Road (EO28)",Highland Rim,36.39425,-87.262326,36.39425,-87.262326,36.39425,-87.262326,9,9,Pgl361_TNW | 361 | Pg361,NA
P. globosa,TNW,362,362,Pgl362_TNW,Pgl362_TNW,Pgl362_TNW,TNW,362,Pgl362_TNW,Pg362,"Edwards, Linan and Dell","TN, Montgomery, King and Queen's Bluff (EO 12)",Highland Rim,36.501393,-87.318045,36.501393,-87.318045,36.501393,-87.318045,14,14,Pgl362_TNW | 362 | Pg362,NA
P. gracilis,TX,TX1,1,PgrTX1*,PgrTX1,PgrTX1,TX,TX1*,PgrTX1,NA,Yatskievych 16-110 (TEX),"Williamson county, TX; near San Gabriel River",Coastal Plains,30.656944000000003,-97.415278,NA,NA,30.656944,-97.415278,11,11,PgrTX1* | PgrTX1 | TX1*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. ouachitensis,AR,AR01,1,PoAR01*,PoAR01,PoAR1,AR,AR01*,PoAR01,NA,Yatskievych 15-003 (MO),Garland county AR; Cedar Fourche Recreation Area,Ouachita mountains,34.666000000000004,-93.28347199999999,NA,NA,34.66600000000001,-93.283472,5,5,PoAR01* | PoAR01 | PoAR1 | AR01*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. ouachitensis,AR,AR02,2,PoAR02*,PoAR02,PoAR2,AR,AR02*,PoAR02,NA,Yatskievych 15-009 (MO),Garland county AR; North side of Lake Ouachita,Ouachita mountains,34.66352800000001,-93.268444,NA,NA,34.66352800000001,-93.268444,9,9,PoAR02* | PoAR02 | PoAR2 | AR02*,Table 1 includes an asterisk suffix for previously published outgroup samples
P. ouachitensis,AR,AR03,3,PoAR03*,PoAR03,PoAR3,AR,AR03*,PoAR03,NA,Yatskievych 15-012 (MO),"Hos Spring county, AR; Ross Foundation Property",Ouachita mountains,34.35036099999999,-93.06744400000001,NA,NA,34.350361,-93.067444,4,4,PoAR03* | PoAR03 | PoAR3 | AR03*,Table 1 includes an asterisk suffix for previously published outgroup samples
